"longitude"t"latitude"thousing_median_aget"total_rooms"t"total_bedrooms"t"population"thouseholdstmedian_incometmedian_house_valuet"ocean_proximity"
-122.23t37.88t41.0t880.0t129.0t322.0t126.0t8.3252t452600.0tNEAR BAY
-122.22t37.86t21.0t7099.0t1106.0t2401.0t1138.0t8.3014t358500.0tNEAR BAY
-122.24t37.85t52.0t1467.0t190.0t496.0t177.0t7.2574t352100.0tNEAR BAY
-122.25t37.85t52.0t1274.0t235.0t558.0t219.0t5.6431t341300.0tNEAR BAY
-122.25t37.85t52.0t1627.0t280.0t565.0t259.0t3.8462t342200.0tNEAR BAY
-122.25t37.85t52.0t919.0t213.0t413.0t193.0t4.0368t269700.0tNEAR BAY
-122.25t37.84t52.0t2535.0t489.0t1094.0t514.0t3.6591t299200.0tNEAR BAY
-122.25t37.84t52.0t3104.0t687.0t1157.0t647.0t3.12t241400.0tNEAR BAY
-122.26t37.84t42.0t2555.0t665.0t1206.0t595.0t2.0804t226700.0tNEAR BAY
-122.25t37.84t52.0t3549.0t707.0t1551.0t714.0t3.6912t261100.0tNEAR BAY
-122.26t37.85t52.0t2202.0t434.0t910.0t402.0t3.2031t281500.0tNEAR BAY
-122.26t37.85t52.0t3503.0t752.0t1504.0t734.0t3.2705t241800.0tNEAR BAY
-122.26t37.85t52.0t2491.0t474.0t1098.0t468.0t3.075t213500.0tNEAR BAY
-122.26t37.84t52.0t696.0t191.0t345.0t174.0t2.6736t191300.0tNEAR BAY
-122.26t37.85t52.0t2643.0t626.0t1212.0t620.0t1.9167t159200.0tNEAR BAY
-122.26t37.85t50.0t1120.0t283.0t697.0t264.0t2.125t140000.0tNEAR BAY
-122.27t37.85t52.0t1966.0t347.0t793.0t331.0t2.775t152500.0tNEAR BAY
-122.27t37.85t52.0t1228.0t293.0t648.0t303.0t2.1202t155500.0tNEAR BAY
-122.26t37.84t50.0t2239.0t455.0t990.0t419.0t1.9911t158700.0tNEAR BAY
-122.27t37.84t52.0t1503.0t298.0t690.0t275.0t2.6033t162900.0tNEAR BAY
-122.27t37.85t40.0t751.0t184.0t409.0t166.0t1.3578t147500.0tNEAR BAY
-122.27t37.85t42.0t1639.0t367.0t929.0t366.0t1.7135t159800.0tNEAR BAY
-122.27t37.84t52.0t2436.0t541.0t1015.0t478.0t1.725t113900.0tNEAR BAY
-122.27t37.84t52.0t1688.0t337.0t853.0t325.0t2.1806t99700.0tNEAR BAY
-122.27t37.84t52.0t2224.0t437.0t1006.0t422.0t2.6t132600.0tNEAR BAY
